year,ets_price
2010,13.991319046066119
2011,11.60549178014533
2012,6.765239289573395
2013,4.794913761501761
2014,6.334535057293826
2015,7.160157849801029
2016,5.465465034757543
2017,7.919189490329988
2018,17.893077774565572
2019,24.80393384631678
2020,30.931310174171053
